Date;Country;Cases;Deaths;Population;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline;walking;driving;;
01/03/2021;Austria;456112;8414;8901064;-34.0;-1.0;12.0;-31.0;-26.0;7.0;80.34;89.13;;
01/03/2021;Belgium;777332;22282;11522440;-30.0;4.0;25.0;-31.0;-25.0;10.0;99.1;94.83;;
01/03/2021;Bulgaria;247038;10191;6951482;-26.0;3.0;-11.0;-5.0;-25.0;2.0;99.58;81.01;;
01/03/2021;Croatia;242973;5526;4058165;-17.0;9.0;38.0;-18.0;-13.0;1.0;106.52;79.95;;
01/03/2021;Czechia;1240051;20469;10693939;-56.0;-10.0;-19.0;-43.0;-33.0;15.0;46.11;63.62;;
01/03/2021;Denmark;211195;2361;5822763;-12.0;-4.0;51.0;-42.0;-34.0;10.0;114.23;107.89;;
01/03/2021;Estonia;66628;598;1328976;-21.0;-2.0;-4.0;-34.0;-28.0;11.0;90.02;85.53;;
01/03/2021;Finland;57672;791;5525292;-15.0;2.0;28.0;-42.0;-33.0;10.0;96.84;106.38;;
01/03/2021;France;3645305;86454;67320216;-34.0;-2.0;36.0;-29.0;-32.0;9.0;72.64;93.15;;
01/03/2021;Germany;2447068;70105;83166711;-36.0;1.0;34.0;-34.0;-24.0;9.0;95.21;87.82;;
01/03/2021;Greece;191100;6504;10718565;-46.0;7.0;33.0;-44.0;-31.0;8.0;72.28;67.35;;
01/03/2021;Hungary;432925;15058;9769526;-27.0;-2.0;12.0;-29.0;-23.0;9.0;61.48;84.85;;
01/03/2021;Ireland;219592;4319;4964440;-43.0;0.0;29.0;-61.0;-45.0;16.0;45.6;54.78;;
01/03/2021;Italy;2925265;97699;59641488;-30.0;0.0;4.0;-36.0;-23.0;9.0;62.17;75.78;;
01/03/2021;Latvia;86186;1618;1907675;-32.0;-14.0;12.0;-42.0;-35.0;11.0;74.88;70.58;;
01/03/2021;Lithuania;197343;3244;2794090;-48.0;7.0;-2.0;-42.0;-31.0;11.0;98.41;71.31;;
01/03/2021;Luxembourg;55425;638;626108;-31.0;-4.0;10.0;-26.0;-26.0;10.0;103.51;82.1;;
01/03/2021;Netherlands;1087303;15544;17407585;-41.0;-5.0;28.0;-51.0;-33.0;12.0;76.2;76.88;;
01/03/2021;Norway;70034;622;5367580;-13.0;0.0;10.0;-43.0;-28.0;9.0;97.71;101.07;;
01/03/2021;Poland;1706986;43769;37958138;-23.0;-3.0;-11.0;-34.0;-20.0;7.0;81.65;89.14;;
01/03/2021;Portugal;804562;16317;10295909;-53.0;-3.0;-36.0;-58.0;-42.0;19.0;35.8;53.74;;
01/03/2021;Romania;801994;20350;19328838;-23.0;5.0;-30.0;-28.0;-25.0;3.0;102.63;82.45;;
01/03/2021;Slovakia;595876;7189;5457873;-45.0;1.0;21.0;-43.0;-33.0;11.0;94.43;72.65;;
01/03/2021;Slovenia;190081;4111;2095861;-36.0;-7.0;29.0;-29.0;-23.0;7.0;113.24;85.92;;
01/03/2021;Spain;15978;467;47332614;-35.0;-9.0;-8.0;-30.0;-29.0;8.0;58.46;72.94;;
01/03/2021;Sweden;668985;13080;10327589;-18.0;-5.0;28.0;-41.0;-32.0;10.0;97.73;105.49;;
02/03/2021;Austria;1148;25;8901064;-37.0;0.0;21.0;-30.0;-26.0;8.0;82.42;89.07;;
02/03/2021;Belgium;2795;25;11522440;-28.0;7.0;63.0;-28.0;-25.0;10.0;111.98;96.5;;
02/03/2021;Bulgaria;2588;117;6951482;-23.0;9.0;5.0;-5.0;-25.0;1.0;115.1;93.38;;
02/03/2021;Croatia;91;11;4058165;-20.0;7.0;39.0;-18.0;-13.0;2.0;99.98;82.51;;
02/03/2021;Czechia;12191;232;10693939;-54.0;-6.0;-9.0;-43.0;-35.0;16.0;46.22;64.68;;
02/03/2021;Denmark;497;4;5822763;-17.0;-2.0;52.0;-42.0;-33.0;11.0;113.79;108.58;;
02/03/2021;Estonia;1111;0;1328976;-19.0;-1.0;9.0;-32.0;-29.0;10.0;100.52;86.69;;
02/03/2021;Finland;392;2;5525292;-18.0;0.0;38.0;-43.0;-33.0;10.0;99.13;106.92;;
02/03/2021;France;27422;375;67320216;-34.0;1.0;34.0;-28.0;-31.0;10.0;78.0;95.41;;
02/03/2021;Germany;3943;358;83166711;-38.0;0.0;62.0;-32.0;-24.0;10.0;99.17;89.95;;
02/03/2021;Greece;1170;30;10718565;-52.0;7.0;2.0;-48.0;-32.0;9.0;75.48;70.23;;
02/03/2021;Hungary;2764;130;9769526;-25.0;3.0;26.0;-28.0;-24.0;9.0;64.28;89.11;;
02/03/2021;Ireland;681;0;4964440;-43.0;2.0;21.0;-61.0;-44.0;16.0;44.55;57.04;;
02/03/2021;Italy;13106;246;59641488;-29.0;1.0;9.0;-35.0;-24.0;9.0;64.18;77.19;;
02/03/2021;Latvia;272;3;1907675;-32.0;-11.0;20.0;-42.0;-35.0;11.0;68.64;75.52;;
02/03/2021;Lithuania;2055;9;2794090;-47.0;13.0;12.0;-42.0;-31.0;11.0;107.71;75.5;;
02/03/2021;Luxembourg;55;1;626108;-30.0;0.0;22.0;-23.0;-26.0;9.0;109.23;81.68;;
02/03/2021;Netherlands;3753;21;17407585;-38.0;3.0;71.0;-49.0;-32.0;12.0;84.93;79.7;;
02/03/2021;Norway;968;1;5367580;-14.0;1.0;35.0;-42.0;-29.0;8.0;99.58;97.46;;
02/03/2021;Poland;4786;24;37958138;-22.0;-1.0;15.0;-32.0;-20.0;7.0;87.12;90.75;;
02/03/2021;Portugal;394;34;10295909;-54.0;-3.0;-34.0;-57.0;-42.0;20.0;37.16;53.38;;
02/03/2021;Romania;2096;53;19328838;-24.0;3.0;-22.0;-28.0;-25.0;2.0;108.75;82.4;;
02/03/2021;Slovakia;5260;81;5457873;-45.0;2.0;46.0;-42.0;-34.0;10.0;94.45;74.86;;
02/03/2021;Slovenia;243;2;2095861;-39.0;-8.0;31.0;-27.0;-23.0;7.0;120.61;88.6;;
02/03/2021;Spain;4517;192;47332614;-34.0;2.0;-8.0;-26.0;-20.0;7.0;63.62;75.15;;
02/03/2021;Sweden;6191;23;10327589;-19.0;-5.0;49.0;-40.0;-32.0;10.0;99.47;106.12;;
